Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
"Good learning experience, tough environment","Aug 21, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,"Learn a lot of skills, both technical skills and soft skills, that other jobs can't teach you. Fast paced environment and rarely bored. Nice to work with people who are in the same life phase as you, lots of young people at the firm. Good holiday schedule... whole firm basically shuts down the last 2 weeks of December. Lots of other perks too ... good medical, lots of amazon gift cards throughout the year, cell phone bill paid, and cheap phone upgrades every two years.",Tough hours in January and February. Basically have Friday nights but work 12-15 hour days 7 days per week for those two months. Non-busy season hours are more towards 40-50 hours but picks up to 60 hours per week during quarters. Hours are completely dependent on what team you're assigned though. Firm requirements and initiatives are exhausting and impede day-to-day work sometimes.
Mixed bag,"Sep 22, 2021 ",4.0,Former, Valuation Associate,,Recommend,Business Outlook,Share,"Great training, smart people, and solid processes in place for someone coming straight out of school.",Stiff working environment and compensation is below market.
Great place to start career,"Sep 22, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Lots of great learning opportunities. Prestigious,You are going to be underpaid but thats just the nature of the beast.
PwC,"Sep 24, 2021 ",5.0,Former, Finance,,Recommend,Business Outlook,Share,Great experience with a number of international clients.,The work week is very long.
Great company but needs more women leadership,"Sep 21, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,challenging projects and senior leadership exposure,lack of upskilling opps and political and biased promotions
Good place to work,"Sep 23, 2021 ",4.0,Current, Director,,Recommend,Business Outlook,Share,Great place to learn for people starting out,limited work/life balance due to constant deadlines
Audit,"Sep 25, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,Smart people Changing environment Fast,Hours pay flexibility satisfaction pay
Great place to work,"Sep 20, 2021 ",5.0,Current, Management Consulting Associate,,Recommend,Business Outlook,Share,"Supportive culture, great leadership, company truly cares about learning and employees","Can’t think of any, don’t love for working for such a large organization"
Grooming next generation of hires,"Sep 7, 2021 ",4.0,Former, Healthcare Consultant,,Recommend,Business Outlook,Share,Great when on one project for a period of time. Keep same team together project to project as you work well together.,Once in a position you are in a niche unless you are connected with the in crowd. Retooled everyone but more interested in training and keeping individuals to be groomed that are at beginning of career or mid-career.
nice,"Sep 22, 2021 ",4.0,Current, Risk and Compliance Manager,,Recommend,Business Outlook,Share,lovely place to work with good working environment,Alot of assignments which translates so some long hours in peak season
Audit Associate Staff,"Sep 21, 2021 ",5.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Great benefits and positive work culture,Masters Program or 150 credits required Lower starting salary than peers in other business fields
Good First Job,"Sep 22, 2021 ",5.0,Current, Digital Assurance %26amp%3B Transparency,,Recommend,Business Outlook,Share,The people and team I work with are incredible,Training wasn’t as good as I expected
Great place for women,"Sep 21, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,"Fantastic benefits, flex work options generous vacation policy","Depending on time of year, work hours can get long"
Great place,"Sep 23, 2021 ",5.0,Current, Auditor,,Recommend,Business Outlook,Share,exit opportunities are endless for private,"working long hours, 16 hours shifts"
"Purpose driven, values led","Sep 17, 2021 ",5.0,Current, Marketing Manager,,Recommend,Business Outlook,Share,A company that lives and acts by its purpose. Excellent management who supports and wants the best for you.,Highly over matrixed. Moves at glacial pace in most situations
Give it a shot!,"Sep 20, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,Great coworkers and flexibility with opportunity to grow.,High expectations with limited training in the area of focus.
Great place to learn and grow!,"Sep 2, 2021 ",5.0,Current, Managing Director,,Recommend,Business Outlook,Share,"very agile work environment, we didn't miss a beat when we had to go remote. great ""new equation""","Can be a LOT of work. This is not a place for folks who are looking for a 40 hr work week. On top of your 40-45 hrs billable (""utilized"") for junior staff, you are expected to ""reinvest"" via working ""hours over standard."""
"Come here to work, leave with honor","Aug 22, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,- Will forever shape your resume and give you experience that makes you a talent in future jobs - Great managers that will challenge you and teach you - company values its employees. They try to make an unpleasant work life balance more pleasant,"- Be ready to work, the job is demanding and the hours are ridiculous - Charging time is annoying and doesn’t make sense with fixed fee engagements"
Great place to work,"Aug 27, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,- Flexibility to relocation from one location to another if you are in consulting line of business - I love that legal plan is part of employment benefits - Didn’t lay off people during covid speaks loud for the culture - I like the trainings and educational support,- Cohort salary model doesn’t work for some high cost of living cities. These cities rank as tier 3 cities but the cost of living is really high - Heath insurance can be better
Great for Career Development,"Sep 21, 2021 ",4.0,Current, Senior Audit Associate,,Recommend,Business Outlook,Share,- Good Professional Development - Exposure to top companies - High performing peers,- Long hours - Low pay
"low pay, great learning experience","Sep 22, 2021 ",4.0,Former, Auditor,,Recommend,Business Outlook,Share,exposure to industry and flexibility,the pay is well below market value
Great experience,"Sep 22, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,You’ll gain great technical experience and always opportunities for bonuses/raises,Busy season hours are terrible
Great Opportunities but at what cost?,"Sep 30, 2021 ",2.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Ample opportunity for experience. Tons of resources. Flexibility.,Stressful work environment. High burnout.
Great name to have on resume,"Sep 21, 2021 ",5.0,Former, Consultant,,Recommend,Business Outlook,Share,Opens doors for future employment opportunities,Heavy politics. Must know how to navigate
Risk Assurance,"Sep 23, 2021 ",4.0,Former, Senior Consultant,,Recommend,Business Outlook,Share,"Professional Growth, great teams leaders.","very low salary, extra hours"
Best Place To Work!,"Sep 21, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Great atmosphere and wonderful people.,There are no cons that I can think of.
Deals Strategy,"Oct 1, 2021 ",2.0,Current, Director,,Recommend,Business Outlook,Share,Plenty of CDD - that's all we do,"Mixed bag of leadership team, many with no experience in CDD and no drive to do anything. Teams are understaffed and massively over worked"
Comp,"Sep 23, 2021 ",4.0,Current, Staff Accountant,,Recommend,Business Outlook,Share,Was able to learn alot,Not enough work life balance
Pays well but bad work life balance,"Sep 16, 2021 ",4.0,Current, Actuarial Associate,,Recommend,Business Outlook,Share,"Good pay, good benefits and experience",Long hours and poor training
Good,"Sep 22, 2021 ",4.0,Current, Business Analyst,,Recommend,Business Outlook,Share,Good company with advancement for career,No cons that I can think of
Great place to learn,"Sep 21, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Learning opportunity at PwC is great,"Working long hours, weekends, and holiday"
Pro,"Sep 22, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,Work/life Balance and Parental Leave,Limited staff due to Pandemic turnover
Good start,"Sep 21, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"great benefits, structure, culture, pay","long hours, politics, lack of ability to transfer"
Great place to work!,"Sep 21, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,Lots of flexibility and great colleagues,There is never enough time
Solid,"Sep 20, 2021 ",4.0,Current, Deals Consultant,,Recommend,Business Outlook,Share,Good exit opportunities if you work hard.,Long periods of bad work life balance
"Great experience, poor work life balance","Sep 29, 2021 ",3.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,"PwC has a great professional development program, great benefits, great organizational structure and is very competitive.","No matter how hard the firm tries to prioritize work-life balance, there really isn't any work-life balance in audit."
Senior Associate,"Sep 20, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,- company perks - work life balance,- no say in growth
2 year audit associate,"Sep 20, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Great resources at the firm.,A lot of politics and other red tape
Poor work life balance,"Sep 26, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Platform to learn new things and flexibility,"No work life balance, need to deal with poor upper management here and there"
NA,"Sep 21, 2021 ",4.0,Current, Audit Assistant,,Recommend,Business Outlook,Share,"Work enviornment is excellent, top facilities","Long working hours, travelling is hectic"
"Worry about your character, not your reputation","Sep 22, 2021 ",2.0,Current, Partner,,Recommend,Business Outlook,Share,- Easy access to client’s C-level makes you feel relevant - Global network opens doors anywhere on the planet - Lot’s of talent enables you to bring your vision to reality,- Too many similar partner cases drive internal competition rather than internal collaboration - No true partnership between older and younger partners - Territory organisation and related mindset makes it difficult to work and collaborate across borders
PwC,"Sep 21, 2021 ",5.0,Current, Financial Markets,,Recommend,Business Outlook,Share,lots of experiences and opportunities,busy busy busy busy busy
Pays well but frequent changes make it chaotic and confusing,"Sep 20, 2021 ",3.0,Current, Scrum Master,,Recommend,Business Outlook,Share,Most people who work here are professionals and overachievers. The pay is good. They provide some time off at the end of the year.,"It's chaotic, not agile. The only constants are change, a lack of process, and overtime. It's a complex organization. You'll need political saavy to succeed."
Hard Work but good learning,"Sep 16, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"If you prefer to get a great experience, it is a great place to start.",Too much work and no life balance
"Great place to start your career, and remain in it too!","Sep 15, 2021 ",5.0,Current, Management Consultant,,Recommend,Business Outlook,Share,"-Flexibility, Opportunity, Company Values, Work-Life Balance, Pay","-Big company, Harder to get noticed"
Good Place,"Sep 17, 2021 ",5.0,Current, Tax Manager,,Recommend,Business Outlook,Share,Flexibility is great here at PwC,Busy season ls can get rough but down seasons are still worth it
Good Company for new grad,"Sep 17, 2021 ",5.0,Current, Advisory Associate,,Recommend,Business Outlook,Share,1. nice leadership 2. smart people 3. a lot to learn,salary is a little bit low
Great Place to work,"Sep 14, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Really love the culture and growth opportunities,Matriculation is slow and trying to move up quickly can seem less than worth the effort.
Big 4,"Sep 19, 2021 ",5.0,Former, Partner,,Recommend,Business Outlook,Share,Best Big 4 work in tax,High expectations and internal politics
good environment,"Sep 19, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,"the good training system, good leadership",the pay was too low
"Everyone is nice, you’re on your own a lot","Sep 6, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"Great teams, interesting clients, lots of learning opportunities","If teams are under-staffed, communication really breaks down."
Take as much as you give,"Aug 29, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Learn inside of top businesses within all sectors Lots of resources to learn from Connect with link minded peers,"Busy season hours will destroy your will to live India will do half your job and get mad when you participate I have a masters and completed the CPA, getting paid less than a lot of friends I have who don't have a college degree."
"Good place to start career for a year or two, but get out before you burn out","Sep 24, 2021 ",2.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"Young culture, big start classes, fun happy hours and team events pre-COVID",They'll work you to death
Good firm,"Sep 17, 2021 ",4.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,Professional development is very emphasized,work life balance is sometimes off as the hours may be long
Great Place,"Sep 17, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,You will have great exposure,Some of the expectations placed upon you may be unrealistic
Great Company,"Sep 13, 2021 ",5.0,Current, Director of Finance,,Recommend,Business Outlook,Share,The company is a great place to work as the people are of the highest quality.,Due to client demands there are times of high stress.
*,"Sep 16, 2021 ",4.0,Current, Consultant,,Recommend,Business Outlook,Share,"Good exposure, interesting projects at times, brand recognition","Implementation heavy, long hours, experience very team dependent"
Great experience,"Sep 17, 2021 ",4.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,- Great people - Learned a lot of technologies,- Work-life balance - Comp is not great
Core Values vs Culture Mismatch,"Aug 10, 2021 ",3.0,Current, Director,,Recommend,Business Outlook,Share,Great benefits - incl student loan paydown and wellness programs Strong brand - recognizable and generally perceived well among potential employers Vast resources - generally well funded for internal programs,"D&I - long way to go, and encourage well-intended but wrong behaviors Old school consulting culture - chargeability is king, despite moves to encourage professional development or wellness activities Competitive Rankings - performance is still assessed using rate and compare methods, which pit you against your coworkers and is a barrier to true collaboration and idea sharing"
Big 4 As Expected,"Sep 14, 2021 ",4.0,Former, Tax Manager,,Recommend,Business Outlook,Share,"Decent pay, high profile clients, constant opportunities to learn and grow.","High stress and hours, per typical Big 4 work."
Culture,"Sep 14, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Positive culture - emphasis on delivering quality work and employees’ work / life balance,Busy season - longer hours / high demand
Loved it,"Sep 15, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Great work environment, the people are incredible",Can be over worked easily so have to put up barriers
good,"Sep 16, 2021 ",5.0,Current, Staff Accountant,,Recommend,Business Outlook,Share,it is a very good and awesome job,sometimes it can be a lot of hours
Starting soon,"Aug 31, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Loved my experience at PwC thus far. The technology is the most up to date compared to other top 10 accounting firms and very easy to work with. Everyone is super helpful if you don't really know what/how to do things.,Interned in another office so I'm not sure what this location is like
Great people,"Sep 17, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Great people. Supportive environment. Wonderful CEO.,Some misalignment between ideals and reality.
New associate,"Aug 19, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Pay is reasonable and competitive with other Big 4s. The people are amazing to work with and the technology that PwC offers is par to none.,"Miami and Ft Lauderdale office just merged into into the Hallandale Beach office, not enough room at that office if you got tired from working from hours. Busy season hours for me have been crazy, but it depends on the client."
Overall not bad,"Sep 14, 2021 ",4.0,Current, Senior Manager%2C Operations,,Recommend,Business Outlook,Share,Considerate management Flat organization Great experience for people who join young and straight out of college,scatter brain Work load office politics
Amazing Company,"Sep 16, 2021 ",5.0,Current, Learning and Development,,Recommend,Business Outlook,Share,"Benefits, inclusiveness, culture, leadership, and flexibility",There no cons I can think of.
Great place to work,"Sep 14, 2021 ",5.0,Former, Senior Assurance Associate,,Recommend,Business Outlook,Share,"Flexible, challenging, competitive, young and growing",Busy season and very demanding workload.
"Great, but huge workload","Sep 30, 2021 ",3.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Vaccinations required! Flexible work schedule Work from home option,Massive workload No overtime pay Required overtime during busy season
Outstanding Culture,"Sep 3, 2021 ",5.0,Current, Managing Director,,Recommend,Business Outlook,Share,Significant focus and investment in their People and the experience.,Hard to get into the partnership.
Good place to start your career,"Sep 13, 2021 ",4.0,Former, Audit Associate,,Recommend,Business Outlook,Share,PwC’s has a great name recognition,Not a lot senior level opportunities for diverse employees
What's expected,"Sep 15, 2021 ",4.0,Current, Solution Architect,,Recommend,Business Outlook,Share,"Nice salary, top tier clients, huge learning opportunities","Long hours, unrealistic expectations, and turnover"
Great place to work,"Sep 8, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,It is a great place to work if you like to work and make money,The hours can be strenuous and the promotions are based on politics disguised as “networking”.
Decent work if you can get it,"Sep 8, 2021 ",4.0,Current, Programmer,,Recommend,Business Outlook,Share,"Okay pay and good work life balance, flexible hours, no on call on weekends (unless senior position)",Work can be repetitive and non engaging
Solid B4,"Sep 15, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Wide experience with large companies, good exit opportunities",Health Insurance is not great
It is a great place to work,"Sep 13, 2021 ",5.0,Current, Consultant,,Recommend,Business Outlook,Share,Really great team to learn,Work-hours are kinda tedious but its manageable.
Long hours and office politics,"Sep 8, 2021 ",2.0,Former, Audit Associate,,Recommend,Business Outlook,Share,Great experience auditing large public and private companies. The experience here will open doors and will teach you how to react and thrive in a fast moving environment.,Lot of mind numbing work during the first year. Instructions and guidance will vary depending on your seniors and team. Office politics is huge so getting along with everyone on the team matters more than your work ethic.
too woke,"Sep 29, 2021 ",3.0,Current, Senior Manager,,Recommend,Business Outlook,Share,great benefits & parental leave,overworked underpaid. management doesnt make effort to retain tailent. outsourcing efforts are a disaster
It's aite,"Sep 2, 2021 ",4.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,"Flexible working conditions, but it really depends on the team",It is a big four so sleeping and having time outside of work is hard
Pretty good,"Sep 15, 2021 ",4.0,Current, PwC Assurance Associate,,Recommend,Business Outlook,Share,Lots of vacation and holidays,Longer hours during filing deadlines
High pressure work but urgent need to pivot,"Aug 18, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,"Smart workmates, great engagements and opportunities to learn","The firm needs to urgently shift its service offerings to where the new value is being created. This has been quite slow in Africa, where firms still focus on the provision of audit and tax services. Other markets and the competition have already shifted to more lucrative consulting services."
Very good,"Sep 13, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,very very good company so far,none.. all good so far
12,"Sep 14, 2021 ",4.0,Current, Accounting,,Recommend,Business Outlook,Share,I think it is good overall,i don't really think there is
"Long Hours, Bad Pay","Sep 29, 2021 ",2.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Good stepping stone and base knowledge.,"Horrible hours, everyone is unhappy, and extremely low pay."
